Time,timeStamp,avgnoise,magRMS,maxnoise,temperature,totalAccel,xtRaccel,xtRv,ytRaccel,ytRv,ztRaccel,ztRv
2024-03-07 06:25:43,1.70979E+12,86.93086,"[{""N"":""508.2276""},{""N"":""642.423""},{""N"":""1555.824""}]",86.93086,37.25,3.14,1.217543,4.51562,2.258829,12.173,1.815937,11.04756
2024-03-07 06:24:44,1.70979E+12,88.02825,"[{""N"":""518.7478""},{""N"":""705.2348""},{""N"":""1586.038""}]",88.02825,37.1875,3.39,1.413108,6.742312,2.28621,12.54319,2.06107,12.60112
2024-03-07 06:23:43,1.70979E+12,88.3274,"[{""N"":""530.9008""},{""N"":""627.8912""},{""N"":""1619.45""}]",88.3274,37.1875,3.27,1.365785,6.801216,2.186232,12.26544,2.017029,12.50392
2024-03-07 06:22:44,1.70979E+12,91.57281,"[{""N"":""503.8964""},{""N"":""694.6503""},{""N"":""1560.731""}]",91.57281,37.125,3.22,1.238132,5.401227,2.257428,12.88696,1.933283,12.11886
2024-03-07 06:21:43,1.70979E+12,90.28304,"[{""N"":""559.4045""},{""N"":""567.5801""},{""N"":""1542.13""}]",90.28304,37.125,3.13,1.159189,4.39295,2.233962,12.49233,1.858313,11.28181
2024-03-07 06:20:44,1.70979E+12,89.09195,"[{""N"":""529.467""},{""N"":""602.4086""},{""N"":""1569.667""}]",89.09195,37.125,3.25,1.258192,4.88307,2.324576,12.56177,1.894936,11.48367
2024-03-07 06:19:43,1.70979E+12,89.33047,"[{""N"":""611.1033""},{""N"":""595.4229""},{""N"":""1611.354""}]",89.33047,37.125,3.41,1.462611,7.289937,2.263389,13.18814,2.088333,13.28526
2024-03-07 06:18:44,1.70979E+12,88.66107,"[{""N"":""562.3323""},{""N"":""579.7834""},{""N"":""1579.14""}]",88.66107,37.125,3.35,1.41968,7.096041,2.237901,12.67221,2.045678,12.76044
2024-03-07 06:16:24,1.70979E+12,88.83746,"[{""N"":""515.9766""},{""N"":""696.8547""},{""N"":""1587.336""}]",88.83746,37.0625,3.09,1.209935,5.335646,2.139876,12.31824,1.868842,11.62028
2024-03-07 06:15:25,1.70979E+12,87.98181,"[{""N"":""550.2052""},{""N"":""656.3619""},{""N"":""1572.05""}]",87.98181,37.0625,3.35,1.399243,6.652251,2.264797,12.45626,2.037641,12.48403
